timestamp,batch_id,reactor,inlet_temperature_c,conversion_percent,product_purity_percent,lab_result
2026-02-03 15:00,Q2004,R2,74.4,89.4,96.39,REVIEW
2026-02-03 16:00,Q2005,R3,75.0,89.9,96.58,REVIEW
2026-02-03 17:00,Q2005,R1,75.6,90.9,96.77,PASS
2026-02-03 18:00,Q2005,R2,76.2,90.9,96.96,PASS
2026-02-03 19:00,Q2005,R3,76.8,91.4,96.45,REVIEW
2026-02-03 20:00,Q2005,R1,72.0,92.3,97.34,PASS
2026-02-03 21:00,Q2005,R2,72.6,92.3,97.53,PASS
2026-02-03 22:00,Q2005,R3,73.2,92.8,97.72,PASS
2026-02-03 23:00,Q2005,R1,73.8,93.8,97.91,PASS
2026-02-04 00:00,Q2006,R2,74.4,93.8,96.2,PASS
2026-02-04 01:00,Q2006,R3,75.0,94.2,96.39,PASS
2026-02-04 02:00,Q2006,R1,75.6,88.5,96.58,REVIEW
2026-02-04 03:00,Q2006,R2,76.2,88.5,96.77,REVIEW
2026-02-04 04:00,Q2006,R3,76.8,89.0,96.96,REVIEW
2026-02-04 05:00,Q2006,R1,72.0,89.9,97.15,REVIEW
2026-02-04 06:00,Q2006,R2,72.6,89.9,97.34,REVIEW
2026-02-04 07:00,Q2006,R3,73.2,90.4,97.53,PASS
2026-02-04 08:00,Q2007,R1,73.8,91.4,97.72,PASS
2026-02-04 09:00,Q2007,R2,74.4,91.4,97.91,PASS
2026-02-04 10:00,Q2007,R3,75.0,91.8,96.2,PASS
2026-02-04 11:00,Q2007,R1,75.6,92.8,96.39,PASS
2026-02-04 12:00,Q2007,R2,76.2,92.8,96.58,PASS
2026-02-04 13:00,Q2007,R3,76.8,93.3,96.77,PASS
2026-02-04 14:00,Q2007,R1,72.0,94.3,96.96,PASS
2026-02-04 15:00,Q2007,R2,72.6,94.2,97.15,PASS
2026-02-04 16:00,Q2008,R3,73.2,88.0,97.34,REVIEW
2026-02-04 17:00,Q2008,R1,73.8,89.0,97.53,REVIEW
2026-02-04 18:00,Q2008,R2,74.4,89.0,97.72,REVIEW
2026-02-04 19:00,Q2008,R3,75.0,89.4,97.91,REVIEW
2026-02-04 20:00,Q2008,R1,75.6,90.4,96.2,PASS
2026-02-04 21:00,Q2008,R2,76.2,90.4,96.39,PASS
2026-02-04 22:00,Q2008,R3,76.8,90.9,96.58,PASS
2026-02-04 23:00,Q2008,R1,72.0,91.9,96.77,PASS
2026-02-05 00:00,Q2009,R2,72.6,91.8,96.96,PASS
2026-02-05 01:00,Q2009,R3,73.2,92.3,97.15,PASS
2026-02-05 02:00,Q2009,R1,73.8,93.3,97.34,PASS
2026-02-05 03:00,Q2009,R2,74.4,93.3,97.53,PASS
2026-02-05 04:00,Q2009,R3,75.0,93.8,97.72,PASS
2026-02-05 05:00,Q2009,R1,75.6,94.7,97.91,PASS
2026-02-05 06:00,Q2009,R2,76.2,88.0,96.2,REVIEW
2026-02-05 07:00,Q2009,R3,76.8,88.5,96.39,REVIEW
2026-02-05 08:00,Q2010,R1,72.0,89.5,96.58,REVIEW
2026-02-05 09:00,Q2010,R2,72.6,89.4,96.77,REVIEW
2026-02-05 10:00,Q2010,R3,73.2,89.9,96.96,REVIEW
2026-02-05 11:00,Q2010,R1,73.8,90.9,97.15,PASS
2026-02-05 12:00,Q2010,R2,74.4,90.9,97.34,PASS
2026-02-05 13:00,Q2010,R3,75.0,91.4,97.53,PASS
2026-02-05 14:00,Q2010,R1,75.6,92.3,97.72,PASS
2026-02-05 15:00,Q2010,R2,76.2,92.3,97.91,PASS
2026-02-05 16:00,Q2011,R3,76.8,92.8,96.2,PASS
2026-02-05 17:00,Q2011,R1,72.0,93.8,96.39,PASS
2026-02-05 18:00,Q2011,R2,72.6,93.8,96.58,PASS
2026-02-05 19:00,Q2011,R3,73.2,94.2,96.77,PASS
2026-02-05 20:00,Q2011,R1,73.8,88.5,96.96,REVIEW
2026-02-05 21:00,Q2011,R2,74.4,88.5,97.15,REVIEW
2026-02-05 22:00,Q2011,R3,75.0,89.0,97.34,REVIEW
2026-02-05 23:00,Q2011,R1,75.6,89.9,96.83,REVIEW
2026-02-06 00:00,Q2012,R2,76.2,89.9,97.72,REVIEW
2026-02-06 01:00,Q2012,R3,76.8,90.4,97.91,PASS
2026-02-06 02:00,Q2012,R1,72.0,91.4,96.2,PASS
2026-02-06 03:00,Q2012,R2,72.6,91.4,96.39,PASS
2026-02-06 04:00,Q2012,R3,73.2,91.8,96.58,PASS
2026-02-06 05:00,Q2012,R1,73.8,92.8,96.77,PASS
2026-02-06 06:00,Q2012,R2,74.4,92.8,96.96,PASS
2026-02-06 07:00,Q2012,R3,75.0,93.3,97.15,PASS
2026-02-06 08:00,Q2013,R1,75.6,94.3,97.34,PASS
2026-02-06 09:00,Q2013,R2,76.2,94.2,97.53,PASS
2026-02-06 10:00,Q2013,R3,76.8,88.0,97.72,REVIEW
2026-02-06 11:00,Q2013,R1,72.0,89.0,97.91,REVIEW
2026-02-06 12:00,Q2013,R2,72.6,89.0,96.2,REVIEW
2026-02-06 13:00,Q2013,R3,73.2,89.4,96.39,REVIEW
2026-02-06 14:00,Q2013,R1,73.8,90.4,96.58,PASS
2026-02-06 15:00,Q2013,R2,74.4,90.4,96.77,PASS
2026-02-06 16:00,Q2014,R3,75.0,90.9,96.96,PASS
2026-02-06 17:00,Q2014,R1,75.6,91.9,97.15,PASS
2026-02-06 18:00,Q2014,R2,76.2,91.8,97.34,PASS
2026-02-06 19:00,Q2014,R3,76.8,92.3,97.53,PASS
2026-02-06 20:00,Q2014,R1,72.0,93.3,97.72,PASS
2026-02-06 21:00,Q2014,R2,72.6,93.3,97.91,PASS
2026-02-06 22:00,Q2014,R3,73.2,93.8,96.2,PASS
2026-02-06 23:00,Q2014,R1,73.8,94.7,96.39,PASS
2026-02-07 00:00,Q2015,R2,74.4,88.0,96.58,REVIEW
2026-02-07 01:00,Q2015,R3,75.0,88.5,96.77,REVIEW
2026-02-07 02:00,Q2015,R1,75.6,89.5,96.96,REVIEW
2026-02-07 03:00,Q2015,R2,76.2,89.4,97.15,REVIEW
2026-02-07 04:00,Q2015,R3,76.8,89.9,97.34,REVIEW
2026-02-07 05:00,Q2015,R1,72.0,90.9,97.53,PASS
2026-02-07 06:00,Q2015,R2,72.6,90.9,97.72,PASS
2026-02-07 07:00,Q2015,R3,73.2,91.4,97.91,PASS
