timestamp,reactor,temperature_c,pressure_bar,flow_m3_h,relief_valve_state
2026-02-05 14:00,R1,78.0,5.1,12.72,CLOSED
2026-02-05 15:00,R2,78.5,5.15,12.84,CLOSED
2026-02-05 16:00,R1,79.1,4.7,12.0,CLOSED
2026-02-05 17:00,R2,79.7,4.75,12.12,CLOSED
2026-02-05 18:00,R1,80.2,4.8,12.24,CLOSED
2026-02-05 19:00,R2,80.8,4.85,12.36,CLOSED
2026-02-05 20:00,R1,81.3,4.9,12.48,CLOSED
2026-02-05 21:00,R2,81.8,4.95,12.6,CLOSED
2026-02-05 22:00,R1,82.4,5.0,12.72,CLOSED
2026-02-05 23:00,R2,83.0,5.05,12.84,CLOSED
2026-02-06 00:00,R1,83.5,5.1,12.0,CLOSED
2026-02-06 01:00,R2,93.0,5.9,12.12,CLOSED
2026-02-06 02:00,R1,84.6,4.7,12.24,CLOSED
2026-02-06 03:00,R2,78.0,4.75,12.36,CLOSED
2026-02-06 04:00,R1,78.5,4.8,12.48,CLOSED
2026-02-06 05:00,R2,79.1,4.85,12.6,CLOSED
2026-02-06 06:00,R1,79.7,4.9,12.72,CLOSED
2026-02-06 07:00,R2,80.2,4.95,12.84,CLOSED
2026-02-06 08:00,R1,80.8,5.0,12.0,CLOSED
2026-02-06 09:00,R2,81.3,5.05,12.12,CLOSED
2026-02-06 10:00,R1,81.8,5.1,12.24,CLOSED
2026-02-06 11:00,R2,82.4,5.15,12.36,CLOSED
2026-02-06 12:00,R1,83.0,4.7,12.48,CLOSED
2026-02-06 13:00,R2,83.5,4.75,12.6,CLOSED
2026-02-06 14:00,R1,84.0,4.8,12.72,CLOSED
2026-02-06 15:00,R2,84.6,4.85,12.84,CLOSED
2026-02-06 16:00,R1,78.0,4.9,12.0,CLOSED
2026-02-06 17:00,R2,78.5,4.95,12.12,CLOSED
2026-02-06 18:00,R1,79.1,5.0,12.24,CLOSED
2026-02-06 19:00,R2,79.7,5.05,12.36,CLOSED
2026-02-06 20:00,R1,80.2,5.1,12.48,CLOSED
2026-02-06 21:00,R2,80.8,5.15,12.6,CLOSED
2026-02-06 22:00,R1,81.3,4.7,12.72,CLOSED
2026-02-06 23:00,R2,81.8,4.75,12.84,CLOSED
2026-02-07 00:00,R1,82.4,4.8,12.0,CLOSED
2026-02-07 01:00,R2,83.0,4.85,12.12,CLOSED
2026-02-07 02:00,R1,83.5,4.9,12.24,CLOSED
2026-02-07 03:00,R2,84.0,4.95,12.36,CLOSED
2026-02-07 04:00,R1,84.6,5.0,12.48,CLOSED
2026-02-07 05:00,R2,78.0,5.05,12.6,CLOSED
2026-02-07 06:00,R1,78.5,5.1,12.72,CLOSED
2026-02-07 07:00,R2,79.1,5.15,12.84,CLOSED
