timestamp,batch_id,reactor,temperature_c,pressure_bar,flow_m3_h,conversion_percent,ph,operator,sample_status
2026-01-08 07:00,B1008,R3,76.5,5.01,12.58,90.9,6.79,Deepa,OK
2026-01-08 08:00,B1008,R1,77.1,5.06,11.7,91.4,6.88,Asha,OK
2026-01-08 09:00,B1008,R2,77.7,5.12,11.81,92.0,6.97,Bimal,OK
2026-01-08 10:00,B1008,R3,78.3,5.17,11.92,92.5,7.06,Chen,OK
2026-01-08 11:00,B1008,R1,79.7,5.23,12.03,93.0,7.15,Deepa,OK
2026-01-08 12:00,B1008,R2,80.4,5.28,12.14,93.5,7.24,Asha,OK
2026-01-08 13:00,B1008,R3,81.0,4.73,12.25,94.0,6.7,Bimal,OK
2026-01-08 14:00,B1008,R1,81.6,4.79,12.36,87.8,6.79,Chen,OK
2026-01-08 15:00,B1008,R2,82.2,4.84,12.47,88.3,6.88,Deepa,OK
2026-01-08 16:00,B1009,R3,82.8,4.9,12.58,89.1,6.97,Asha,OK
2026-01-08 17:00,B1009,R1,83.5,4.95,11.7,89.7,7.06,Bimal,OK
2026-01-08 18:00,B1009,R2,84.1,5.01,11.81,90.2,7.15,Chen,OK
2026-01-08 19:00,B1009,R3,84.7,5.06,11.92,90.7,7.24,Deepa,NOT TAKEN
2026-01-08 20:00,B1009,R1,85.3,5.12,12.03,91.2,6.7,Asha,OK
2026-01-08 21:00,B1009,R2,75.4,5.17,12.14,91.7,6.79,Bimal,OK
2026-01-08 22:00,B1009,R3,76.0,5.23,12.25,92.3,6.88,Chen,OK
2026-01-08 23:00,B1009,R1,76.6,5.28,12.36,92.8,6.97,Deepa,OK
2026-01-09 00:00,B1009,R2,77.3,4.73,12.47,93.3,7.06,Asha,OK
2026-01-09 01:00,B1009,R3,77.9,4.79,12.58,93.8,7.15,Bimal,OK
2026-01-09 02:00,B1010,R1,78.5,4.88,11.7,94.3,7.24,Chen,OK
2026-01-09 03:00,B1010,R2,79.1,4.94,11.81,88.1,6.7,Deepa,OK
2026-01-09 04:00,B1010,R3,79.7,4.99,11.92,88.6,6.79,Asha,OK
2026-01-09 05:00,B1010,R1,80.4,5.05,12.03,89.1,6.88,Bimal,OK
2026-01-09 06:00,B1010,R2,81.0,5.1,12.14,89.7,6.97,Chen,OK
2026-01-09 07:00,B1010,R3,81.6,5.16,12.25,90.2,7.06,Deepa,OK
2026-01-09 08:00,B1010,R1,82.2,5.21,12.36,90.7,7.15,Asha,OK
2026-01-09 09:00,B1010,R2,82.8,5.27,12.47,91.2,7.24,Bimal,OK
2026-01-09 10:00,B1010,R3,83.5,5.32,12.58,91.7,6.7,Chen,OK
2026-01-09 11:00,B1010,R1,84.1,4.77,11.7,92.3,6.79,Deepa,OK
